market_instance,dyn_net_return,stat_net_return,return_improvement,dyn_total_revenue,stat_total_revenue,revenue_improvement,dyn_avg_fee,stat_avg_fee,dyn_fee_volatility,dyn_avg_volume,stat_avg_volume,volume_ratio_dyn,volume_ratio_stat
70,0.1300023747422183,0.13144648765715025,-0.001444112914931961,3200.1438099165516,6088.998652070891,-2888.854842154339,0.0002738420489182681,0.0005,0.0002339024485182725,19.763837827316937,18.72389713101891,8.810473818574786e-06,8.375654046879871e-06
71,0.2863471694842177,0.2877465006224592,-0.001399331138241533,1895.8878964984465,4693.872321663619,-2797.9844251651725,0.00019174597905359194,0.0005,0.0001471312050061002,22.666035251303466,20.847393861587037,1.2289438502027099e-05,1.1310118407754e-05
72,-0.5995614875018508,-0.5990115460854126,-0.00054994141643816,1997.5622329564524,3097.276179857682,-1099.7139469012297,0.0003092386214493363,0.0005,0.00022014517193013594,38.56772824863852,36.52963309367055,3.689280127493748e-05,3.4810692912773966e-05
73,-0.43205154238960913,-0.43099290916038735,-0.0010586332292217837,1664.4854765998248,3781.7189606564393,-2117.2334840566145,0.00021094437090710794,0.0005,0.0001231148485655805,29.752208777095245,27.55663945801892,2.0922047570143558e-05,1.9380312573220583e-05
74,-0.5312113153395632,-0.5300648391098743,-0.0011464762296888864,2064.3649679532614,4357.177747519206,-2292.8127795659443,0.00023930448580228002,0.0005,0.00015339454480674494,30.05601702422165,28.241986668598344,2.0504956447106945e-05,1.9310149731474134e-05
75,0.12998961221795388,0.1313677924152047,-0.0013781801972508056,1780.089409942688,4536.9032251114095,-2756.8138151687217,0.00018290117160070927,0.0005,0.00011893710227857724,24.020935897131565,22.016774154362146,1.3522670364882432e-05,1.2384478383975988e-05
76,-0.2894628134437278,-0.2882321502395623,-0.0012306632041655385,1829.300605656474,4290.450783457479,-2461.1501778010047,0.0002049309334716607,0.0005,0.00011479174123581315,26.833471014371646,24.832411482969793,1.6400260333829857e-05,1.5177641142819139e-05
77,-0.20934767021279457,-0.2079172069131568,-0.0014304632996377797,1881.5721144657991,4742.237502842831,-2860.6653883770323,0.0001871269002865704,0.0005,9.740153342925105e-05,23.656656277021856,21.731516567393346,1.2955048770386827e-05,1.1894307928265519e-05
78,-0.09290991896143311,-0.09135661869388319,-0.0015533002675499202,1990.7070085837481,5097.432285860439,-3106.725277276691,0.00018432949994356008,0.0005,0.00010962087969898015,22.86721544023446,21.046592907283888,1.1737564248796178e-05,1.080482143569519e-05
79,-0.01912610630829027,-0.017836010820278782,-0.001290095488011487,2049.6286846475145,4630.2643057410005,-2580.635621093486,0.0002106204299793872,0.0005,0.00014471630122559812,22.952118496498585,21.266673345835578,1.2680151501497197e-05,1.1752217015919116e-05
80,0.0026935674191758737,0.004286866373359458,-0.0015932989541835845,2068.4237518685386,5255.704159965742,-3187.2804080972037,0.00018838181327541871,0.0005,0.00011342836607224566,22.317305495221014,20.584962341741594,1.1343338949739439e-05,1.0475081846238746e-05
81,-0.2411926998939987,-0.24003895865358552,-0.0011537412404131753,2017.1069420537876,4324.866008223976,-2307.759066170188,0.0002236079890422318,0.0005,0.00014348692165069341,24.246311813724716,22.469872746661302,1.4320751118721545e-05,1.326536918831152e-05
